Category,cleaned_resume,LabelEncoding
Data Science,skills programming languages python pandas numpy scipy scikitlearn matplotlib sql java javascriptjquery machine learning regression svm nave bayes knn random forest decision trees boosting techniques cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural nets database visualizations mysql sqlserver cassandra hbase elasticsearch d3js dcjs plotly kibana matplotlib ggplot tableau others regular expression html css angular 6 logstash kafka python flask git docker computer vision open cv and understanding of deep learningeducation details data science assurance associate data science assurance associate ernst young llp skill details javascript exprience 24 months jquery exprience 24 months python exprience 24 monthscompany details company ernst young llp description fraud investigations and dispute services assurance technology assisted review tar technology assisted review assists in accelerating the review process and run analytics and generate reports core member of a team helped in developing automated review platform tool from scratch for assisting e discovery domain this tool implements predictive coding and topic modelling by automating reviews resulting in reduced labor costs and time spent during the lawyers review understand the end to end flow of the solution doing research and development for classification models predictive analysis and mining of the information present in text data worked on analyzing the outputs and precision monitoring for the entire tool tar assists in predictive coding topic modelling from the evidence by following ey standards developed the classifier models in order to identify red flags and fraudrelated issues tools technologies python scikitlearn tfidf word2vec doc2vec cosine similarity nave bayes lda nmf for topic modelling vader and text blob for sentiment analysis matplot lib tableau dashboard for reporting multiple data science and analytic projects usa clients text analytics motor vehicle customer review data received customer feedback survey data for past one year performed sentiment positive negative neutral and time series analysis on customer comments across all 4 categories created heat map of terms by survey category based on frequency of words extracted positive and negative words across all the survey categories and plotted word cloud created customized tableau dashboards for effective reporting and visualizations chatbot developed a user friendly chatbot for one of our products which handle simple questions about hours of operation reservation options and so on this chat bot serves entire product related questions giving overview of tool via qa platform and also give recommendation responses so that user question to build chain of relevant answer this too has intelligence to build the pipeline of questions as per user requirement and asks the relevant recommended questions tools technologies python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikitlearn javascriptjquery sqlserver information governance organizations to make informed decisions about all of the information they store the integrated information governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk scan data from multiple sources of formats and parse different file formats extract meta data information push results for indexing elastic search and created customized interactive dashboards using kibana preforming rot analysis on the data which give information of data which helps identify content that is either redundant outdated or trivial preforming fulltext search analysis on elastic search with predefined methods which can tag as pii personally identifiable information social security numbers addresses names etc which frequently targeted during cyberattacks tools technologies python flask elastic search kibana fraud analytic platform fraud analytics and investigative platform to review all red flag cases fap is a fraud analytics and investigative platform with inbuilt case manager and suite of analytics for various erp systems it can be used by clients to interrogate their accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics tools technologies html javascript sqlserver jquery css bootstrap nodejs d3js dcjs,6
Data Science,education details may 2013 to may 2017 be uitrgpv data scientist data scientist matelabs skill details python exprience less than 1 year months statsmodels exprience 12 months aws exprience less than 1 year months machine learning exprience less than 1 year months sklearn exprience less than 1 year months scipy exprience less than 1 year months keras exprience less than 1 year monthscompany details company matelabs description ml platform for business professionals dummies and enthusiasts 60a koramangala 5th block achievementstasks behind sukh sagar bengaluru india developed and deployed auto preprocessing steps of machine learning mainly missing value treatment outlier detection encoding scaling feature selection and dimensionality reduction deployed automated classification and regression model linkedincominadityarathore b4600b146 reasearch and deployed the time series forecasting model arima sarimax holtwinter and prophet worked on metafeature extracting problem githubcomrathorology implemented a state of the art research paper on outlier detection for mixed attributes company matelabs description ,6
Data Science,areas of interest deep learning control system design programming inpython electric machinery web development analytics technical activities q hindustan aeronautics limited bangalore for 4 weeks under the guidance of mr satish senior engineer in the hangar of mirage 2000 fighter aircraft technical skills programming matlab python and java labview python webframeworkdjango flask ltspiceintermediate languages and and mipowerintermediate github gitbash jupyter notebook xampp mysqlbasics python software packages interpretersanaconda python2 python3 pycharm java ideeclipse operating systems windows ubuntu debiankali linux education details january 2019 btech electrical and electronics engineering manipal institute of technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy of higher data science data science and electrical enthusiast skill details data analysis exprience less than 1 year months excel exprience less than 1 year months machine learning exprience less than 1 year months mathematics exprience less than 1 year months python exprience less than 1 year months matlab exprience less than 1 year months electrical engineering exprience less than 1 year months sql exprience less than 1 year monthscompany details company themathcompany description i am currently working with a casino based operatorname not to be disclosed in macaui need to segment the customers who visit their property based on the value the patrons bring into the companybasically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it uphenceforth they can implement target marketing strategy to attract their customers who add value to the business,6
Data Science,skills r python sap hana tableau sap hana sql sap hana pal ms sql sap lumira c linear programming data modelling advance analytics scm analytics retail analytics social media analytics nlp education details january 2017 to january 2018 pgdm business analytics great lakes institute of management illinois institute of technology january 2013 bachelor of engineering electronics and communication bengaluru karnataka new horizon college of engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill details linear programming exprience 6 months retail exprience 6 months retail marketing exprience 6 months scm exprience 6 months sql exprience less than 1 year months deep learning exprience less than 1 year months machine learning exprience less than 1 year months python exprience less than 1 year months r exprience less than 1 year monthscompany details company deloitte usi description the project involved analysing historic deals and coming with insights to optimize future deals role was given raw data carried out end to end analysis and presented insights to client key responsibilities extract data from client systems across geographies understand and build reports in tableau infer meaningful insights to optimize prices and find out process blockades technical environment r tableau industry cross industry service area cross industry products project name handwriting recognition consultant 3 months the project involved taking handwritten images and converting them to digital text images by object detection and sentence creation role i was developing sentence correction functionality key responsibilities gather data large enough to capture all english words train lstm models on words technical environment python industry finance service area financial services bi development project name swift consultant 8 months the project was to develop an analytics infrastructure on top of sap s4 it would user to view financial reports to respective departments reporting also included forecasting expenses role i was leading the offshore team key responsibilities design develop data models for reporting develop etl for data flow validate various reports technical environment sap hana tableau sap ao industry healthcare analytics service area life sciences product development project name clinical healthcare system consultant 2 months the project was to develop an analytics infrastructure on top of argus it would allow users to query faster and provide advance analytics capabilities role i was involved from design to deploy phase performed a lot of data restructuring and built models for insights key responsibilities design develop data models for reporting develop and deploy analytical models validate various reports technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion project name consumption based planning for flowers foods consultant 8 months the project involved setting up of crm and cbp modules role i was involved in key data decomposition activities and setting up the base for future year forecast over the course of the project i developed various models and carried out key performance improvements key responsibilities design develop hana models for decomposition develop data flow for forecast developed various views for reporting of customersalesfunds validate various reports in bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation and rfm analysis consultant 3 months the initiative involved setting up of hanapython interface and advance analytics on python over the course i had successfully segmented data into five core segments using kmeans and carried out rfm analysis in python also developed algorithm to categorize any new customer under the defined buckets technical environment anaconda3 python36 hana sps12 industry telecom invoice state detection consultant 1 months the initiative was to reduce the manual effort in verifying closed and open invoices manually it involved development to a decision tree to classify openclosed invoices this enabled effort reduction by 60 technical environment r sap pal sap hana sps12 accenture experience industry analytics cross industry in process analytics for sap senior developer 19 months accenture solutions pvt ltd india the project involved development of sap analytics tool in process analytics ipa my role was to develop database objects and data models to provide operational insights to clients role i have developed various finance related kpis and spearheaded various deployments introduced sap predictive analytics to reduce development time and reuse functionalities for kpis and prepared production planning reports key responsibilities involved in information gather phase designed and implemented sap hana data modelling using attribute view analytic view and calculation view developed various kpis individually using complex sql scripts in calculation views created procedures in hana database took ownership and developed dashboard functionality involved in building data processing algorithms to be executed in r server for cluster analysis technical environment r sap hana tsql industry cross industry accenture testing accelerator for sap database developer 21 months accenture solutions pvt ltd india role i have taken care of all development activities for the atas tool and have also completed various deployments of the product apart from these activities i was also actively involved in maintenance of the database servers production quality key responsibilities analyzing business requirements understanding the scope getting requirements clarified interacting with business and further transform all requirements to generate attribute mapping documents and reviewing mapping specification documentation create update database objects like tables views stored procedures function and packages monitored sql server error logs and application logs through sql server agent prepared data flow diagrams entity relationship diagrams using uml responsible for designing developing and normalization of database tables experience in performance tuning using sql profiler involved in qa uat knowledge transfer and support activities technical environment sql server 20082014 visual studio 2010 windows server performance monitor sql server profiler c plsql tsql,6
Data Science,education details mca ymcaust faridabad haryana data science internship skill details data structure exprience less than 1 year months c exprience less than 1 year months data analysis exprience less than 1 year months python exprience less than 1 year months core java exprience less than 1 year months database management exprience less than 1 year monthscompany details company itechpower description ,6
Data Science,skills c basics iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place in btecheducation details august 2014 to may 2018 btech ghatkesar andhra pradesh auroras scientific and technological institute june 2012 to may 2014 secondary education warangal telangana sr junior college data science skill details ms office exprience less than 1 year months c exprience less than 1 year months machine learning exprience less than 1 year months data science exprience less than 1 year months matlab exprience less than 1 year monthscompany details company description ,6
Data Science,skills python tableau data visualization r studio machine learning statistics iabac certified data scientist with versatile experience over 1+ years in managing business data science consulting and leading innovation projects bringing business ideas to working real world solutions being a strong advocator of augmented era where human capabilities are enhanced by machines fahed is passionate about bringing business concepts in area of machine learning ai robotics etc to real life solutionseducation details january 2017 b tech computer science engineering mohali punjab indo global college of engineering data science consultant data science consultant datamites skill details machine learning exprience 13 months python exprience 24 months solutions exprience 24 months data science exprience 24 months data visualization exprience 24 months tableau exprience 24 monthscompany details company datamites description analyzed and processed complex data sets using advanced querying visualization and analytics tools responsible for loading extracting and validation of client data worked on manipulating cleaning processing data using python used tableau for data visualization company heretic solutions pvt ltd description worked closely with business to identify issues and used data to propose solutions for effective decision making manipulating cleansing processing data using python excel and r analyzed raw data drawing conclusions developing recommendations used machine learning tools and statistical techniques to produce solutions to problems,6
Data Science,education details btech rayat and bahra institute of engineering and biotechnology data science data science skill details numpy exprience less than 1 year months machine learning exprience less than 1 year months tensorflow exprience less than 1 year months scikit exprience less than 1 year months python exprience less than 1 year months gcp exprience less than 1 year months pandas exprience less than 1 year months neural network exprience less than 1 year monthscompany details company wipro description bhawana aggarwal emailbhawanachdgmailcom phone vversatile highenergy professional targeting challenging assignments in machine profile summary an it professional with knowledge and experience of 2 years in wipro technologies in machine learning deep learning data science python software development skilled in managing endtoend development and software products projects from inception requirement specs planning designing implementation configuration and documentation knowledge on python machine learning deep learning data science algorithms neural network nlp gcp knowledge on python libraries like numpy pandas seaborn matplotlib cufflinks knowledge on different algorithms in machine learning like knn decision tree bias variance trade off support vector machinesvmlogistic regression neural networks have knowledge on unsupervised supervised and reinforcement data programming experience in relational platforms like mysqloracle have knowledge on some programming language like c++java experience in cloud based environment like google cloud working on different operating system like linux ubuntu windows good interpersonal and communication skills problem solving skills with the ability to think laterally and to think with a medium term and long term perspective flexibility and an open attitude to change ability to create define and own frameworks with a strong emphasis on code reusability technical skills programming languages python c libraries seaborn numpy pandas cufflinks matplotlib algorithms knn decision tree linear regression logistic regression neural networks k means clustering tensorflow svm databases sql oracle operating systems linux window development environments netbeans notebooks sublime ticketing tools service now remedy education ug education btech computer science from rayat and bahra institute of engineering and biotechnology passed with 784in 2016 schooling xii in 2012 from moti ram arya sr secondary schoolpassed with 784 x in 2010 from valley public school passed with 94 cgpa work experince title wipro neural intelligence platform team size 5 brief wipros neural intelligence platform harnesses the power of automation and artificial intelligence technologiesnatural language processing nlp cognitive machine learning and analytics the platform comprises three layers a data engagement platform that can easily access and manage multiple structured and unstructured data sources an intent assessment and reasoning engine that includes sentiment and predictive analytics and a deep machine learning engine that can sense act and learn over time the project entailed automating responses to user queries at the earliest the monster bot using the power of deep machine learning nlp to handle such queries user can see the how their queries can be answered quickly like alll1 activities can be eliminated entity extractor this involves text extraction and nlp for fetching out important information from the text like dates names places contact numbers etc this involves regex bluemix nlu apis and machine learning using tensor flow for further learning of new entities classifier this involves the classifications of classes training of dataset and predicting the output using the sklearn classifier mnb svm sgd as classifier and sgd for the optimization to map the user queries with the best suited response and make the system efficient ner a deep learning ner model is trained to extract the entities from the text entities like roles skills organizations can be extracted from raw text rnnlstm bidirectional model is trained for extracting such entities using keras tensorflow framework other projects title diabetes detection brief developed the software which can detect whether the person is suffering from diabetes or not and got the third prize in it training and certifications title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile fathers name mr tirlok aggarwal language known english hindi marital status single date of birthgender19931220yyyymmdd f company wipro description developing programs in python company wipro description title wipro neural intelligence platform team size 5 brief wipros neural intelligence platform harnesses the power of automation and artificial intelligence technologiesnatural language processing nlp cognitive machine learning and analytics the platform comprises three layers a data engagement platform that can easily access and manage multiple structured and unstructured data sources an intent assessment and reasoning engine that includes sentiment and predictive analytics and a deep machine learning engine that can sense act and learn over time the project entailed automating responses to user queries at the earliest the monster bot using the power of deep machine learning nlp to handle such queries user can see the how their queries can be answered quickly like alll1 activities can be eliminated entity extractor this involves text extraction and nlp for fetching out important information from the text like dates names places contact numbers etc this involves regex bluemix nlu apis and machine learning using tensor flow for further learning of new entities classifier this involves the classifications of classes training of dataset and predicting the output using the sklearn classifier mnb svm sgd as classifier and sgd for the optimization to map the user queries with the best suited response and make the system efficient ner a deep learning ner model is trained to extract the entities from the text entities like roles skills organizations can be extracted from raw text rnnlstm bidirectional model is trained for extracting such entities using keras tensorflow framework company wipro technologies description an it professional with knowledge and experience of 2 years in wipro technologies in machine learning deep learning data science python software development skilled in managing endtoend development and software products projects from inception requirement specs planning designing implementation configuration and documentation knowledge on python machine learning deep learning data science algorithms neural network nlp gcp knowledge on python libraries like numpy pandas seaborn matplotlib cufflinks knowledge on different algorithms in machine learning like knn decision tree bias variance trade off support vector machinesvmlogistic regression neural networks have knowledge on unsupervised supervised and reinforcement data programming experience in relational platforms like mysqloracle have knowledge on some programming language like c++java experience in cloud based environment like google cloud working on different operating system like linux ubuntu windows good interpersonal and communication skills problem solving skills with the ability to think laterally and to think with a medium term and long term perspective flexibility and an open attitude to change ability to create define and own frameworks with a strong emphasis on code reusability,6
Data Science,personal skills ability to quickly grasp technical aspects and willingness to learn high energy levels result oriented education details january 2018 master of engineering computer technology application bhopal madhya pradesh truba institute of engineering information technology january 2010 be computer science bhopal madhya pradesh rkdf institute of science and technology college of engineering january 2006 polytechnic information technology vidisha madhya pradesh sati engineering college in vidisha january 2003 mtech thesis detail bmch school in ganj basoda data science i have six month experience in data science key skills experience in machine learning deep leaning nlp python sql web scraping good knowledge in computer subjects and ability to update skill details experience in machine learning deep learning nlp python sql web crawling htmlcss exprience less than 1 year monthscompany details company rntai technology solution description text classification using machine learning algorithms with python practical knowledge of deep learning algorithms such as recurrent neural networksrnn develop custom data models and algorithms to apply to dataset experience with python packages like pandas scikitlearn tensor flow numpy matplotliv nltk comfort with sql mysql sentiment analysis apply leave dataset using classification technique like tfidf lsa with cosine similarity using machine learning algorithms web crawling using selenium web driver and beautiful soup with python company life insurance corporation of india bhopal description explaining policy features and the benefits updated knowledge of life insurance products and shared with customers,6
Data Science,expertise data and quantitative analysis decision analytics predictive modeling datadriven personalization kpi dashboards big data queries and interpretation data mining and visualization tools machine learning algorithms business intelligence bi research reports and forecasts education details pgp in data science mumbai maharashtra aegis school of data science business be in electronics communication electronics communication indore madhya pradesh ies ips academy data scientist data scientist with pr canada skill details algorithms exprience 6 months bi exprience 6 months business intelligence exprience 6 months machine learning exprience 24 months visualization exprience 24 months spark exprience 24 months python exprience 36 months tableau exprience 36 months data analysis exprience 24 monthscompany details company aegis school of data science business description mostly working on industry project for providing solution along with teaching appointments teach undergraduate and graduatelevel courses in spark and machine learning as an adjunct faculty member at aegis school of data science mumbai 2017 to present company aegis school of data business description data science intern nov 2015 to jan 2016 furnish executive leadership team with insights analytics reports and recommendations enabling effective strategic planning across all business units distribution channels and product lines chat bot using aws lex and tensor flow python the goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute the objective of this task is to reduce human efforts as well as reduce man made errors even by this companies handle their client 24x7 in this case companies are academic institutions and clients are participants or students web scraping using selenium web driver python the task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it data visualization and data insights hadoop eco system hive pyspark qliksense the goal of this project is to build a business solutions to a internet service provider company like handling data which is generated per day basis for that we have to visualize that data and find the usage pattern form it and have a generate a reports image based fraud detection microsoft face api pyspark open cv the main goal of project is recognize similarity for a face to given database images face recognition is the recognizing a special face from set of different faces face is extracted and then compared with the database image if that image recognized then the person already applied for loan from somewhere else and now hiding his or her identity this is how we are going to prevent the frauds in the initial stage itself churn analysis for internet service provider r python machine learning hadoop the objective is to identify the customer who is likely to churn in a given period of time we have to pretend the customer giving incentive offers sentiment analysis python nlp apache spark service in ibm bluemix this project is highly emphasis on tweets from twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive negative or neutral capture the emotions of the tweets and comparative analysis quantifiable results mentored 712 data science enthusiast each year that have all since gone on to graduate school in data science and business analytics reviewed and evaluated 2040 research papers on data science for one of the largest data science conference called data science congress by aegis school of business mumbai heading a solution providing organization called data science delivered into aegis school of data science mumbai and managed 45 live projects using data science techniques working for some social cause with the help of data science for social goods committee where our team developed a product called lets find a missing child for helping society company ibm india pvt ltd description mostly worked on blumix and ibm watson for data science,6
